run_id,atm_id,split,stage2_class,subtype,start_hour_ist,t_start,t_end,t_onset,t_failure,severity,n_transactions,peak_temperature_c,min_voltage_v,fault_channel,params,seed,n_windows
RUN_00162,ATM_028,train,SENSOR_FAULT,SENSOR_STUCK,15.708,1804826547,1804840946,1804830961.0,,1.0,48,29.74,214.0,voltage,"{""kind"": ""SENSOR_STUCK"", ""channel"": ""voltage"", ""null_rate"": 0.0046137635823391325}",1311272624,233
RUN_00032,ATM_028,train,COOLING_FAILURE,COOLING_DEGRADATION,22.37,1793618532,1793632931,1793624186.0,,0.851,7,37.39,216.87,,"{""develop_s"": 2253.8238726183195, ""health_floor"": 0.1490397220891252}",344175668,233
RUN_00139,ATM_025,train,TAMPER,TAMPER,22.736,1802864647,1802879046,1802868779.0,,38.8105,4,28.75,218.6,,"{""n_episodes"": 7}",596767621,209
RUN_00193,ATM_039,train,SENSOR_FAULT,SENSOR_NOISE,21.275,1807524989,1807539388,1807530321.0,,32.1381,11,29.02,217.39,current,"{""kind"": ""SENSOR_NOISE"", ""channel"": ""current"", ""inflation"": 32.13806198256144}",866681041,233
RUN_00151,ATM_034,validation,TAMPER,TAMPER,3.479,1803832124,1803846523,1803836740.0,,38.7963,6,28.77,217.88,,"{""n_episodes"": 4}",1613051819,43
RUN_00039,ATM_002,validation,COOLING_FAILURE,COOLING_DEGRADATION,9.866,1794178319,1794192718,1794183377.0,,0.8239,50,37.57,217.23,,"{""develop_s"": 5020.364564467039, ""health_floor"": 0.17608366266438208}",2007370783,48
RUN_00089,ATM_035,train,POWER_FAILURE,POWER_INSTABILITY,5.892,1798484010,1798498409,1798489185.0,,27.9728,33,29.43,153.08,,"{""event_rate_per_hour"": 61.4881842093152, ""n_events"": 152}",2000134777,233
RUN_00005,ATM_036,train,NORMAL,NORMAL,9.61,1791239796,1791254195,,,0.0,43,29.64,217.82,,{},779406769,236
RUN_00173,ATM_024,train,SENSOR_FAULT,SENSOR_BIAS,22.471,1805801296,1805815695,1805807505.0,,19.4077,6,29.04,211.7,current,"{""kind"": ""SENSOR_BIAS"", ""channel"": ""current"", ""sigmas"": 19.40773362300801}",460841144,233
RUN_00042,ATM_030,train,COOLING_FAILURE,FAN_STALL,18.044,1794466958,1794481357,1794474001.0,,0.9632,34,43.16,216.74,,"{""develop_s"": 8.803594570662042, ""health_floor"": 0.03682360033048526}",1728612497,233
RUN_00112,ATM_013,train,TAMPER,TAMPER,8.591,1800480926,1800495325,1800487853.0,,41.0249,39,29.34,217.51,,"{""n_episodes"": 7}",1200769451,218
RUN_00133,ATM_020,train,TAMPER,TAMPER,19.915,1802336095,1802350494,1802342882.0,,36.0909,14,29.1,214.93,,"{""n_episodes"": 4}",1755558365,227
RUN_00013,ATM_037,train,NORMAL,NORMAL,10.955,1791935839,1791950238,,,0.0,33,29.6,212.66,,{},598720982,236
RUN_00183,ATM_042,train,SENSOR_FAULT,SENSOR_SPIKE,4.903,1806602049,1806616448,1806608709.0,,2.9382,11,29.15,217.39,current,"{""kind"": ""SENSOR_SPIKE"", ""channel"": ""current"", ""rate"": 0.05045776568649528, ""sigmas"": 58.230040746322814}",862206609,234
RUN_00189,ATM_001,test,SENSOR_FAULT,SENSOR_SPIKE,14.791,1807156048,1807170447,1807162879.0,,1.1235,42,29.76,215.42,light,"{""kind"": ""SENSOR_SPIKE"", ""channel"": ""light"", ""rate"": 0.02898941511620353, ""sigmas"": 38.756218429314934}",1283804901,47
RUN_00056,ATM_016,train,HIGH_HUMIDITY,HIGH_HUMIDITY,21.311,1795688319,1795702718,1795692636.0,,0.5969,8,28.9,218.39,,"{""develop_s"": 2819.850871817768, ""ah_multiplier"": 1.5969443385251894}",932484659,233
RUN_00186,ATM_019,train,SENSOR_FAULT,SENSOR_SPIKE,23.145,1806926920,1806941319,1806933363.0,,1.5044,6,28.96,210.57,current,"{""kind"": ""SENSOR_SPIKE"", ""channel"": ""current"", ""rate"": 0.044060422887287364, ""sigmas"": 34.14466668175844}",977749125,233
RUN_00010,ATM_036,train,NORMAL,NORMAL,3.028,1791648100,1791662499,,,0.0,8,28.68,218.4,,{},839299082,236
RUN_00079,ATM_014,test,POWER_FAILURE,POWER_UNDERVOLTAGE,11.029,1797638504,1797652903,1797645185.0,,23.6094,49,29.85,193.99,,"{""develop_s"": 231.0520536143608, ""target_v"": 206.39064839374637}",1938416257,47
RUN_00128,ATM_026,train,TAMPER,TAMPER,11.295,1801873061,1801887460,1801879391.0,,41.1562,44,29.72,217.34,,"{""n_episodes"": 5}",691040216,209
RUN_00123,ATM_042,train,TAMPER,TAMPER,15.038,1801454535,1801468934,1801461253.0,,40.7335,40,29.58,219.68,,"{""n_episodes"": 7}",1614662080,219
RUN_00114,ATM_029,train,TAMPER,TAMPER,11.844,1800665439,1800679838,1800670302.0,,44.7359,49,29.93,218.59,,"{""n_episodes"": 7}",570283308,221
RUN_00052,ATM_041,train,HIGH_HUMIDITY,HIGH_HUMIDITY,19.977,1795337916,1795352315,1795344489.0,,0.7047,16,29.3,215.45,,"{""develop_s"": 2767.872757611194, ""ah_multiplier"": 1.7047288105801115}",579346565,233
RUN_00130,ATM_025,train,TAMPER,TAMPER,15.011,1802059239,1802073638,1802062870.0,,42.36,49,29.93,219.45,,"{""n_episodes"": 5}",376196002,218
RUN_00172,ATM_011,train,SENSOR_FAULT,SENSOR_BIAS,0.356,1805635280,1805649679,1805639395.0,,21.6666,3,28.62,218.05,light,"{""kind"": ""SENSOR_BIAS"", ""channel"": ""light"", ""sigmas"": -21.666577555400835}",2026281745,233
RUN_00035,ATM_009,train,COOLING_FAILURE,COOLING_DEGRADATION,5.233,1793816039,1793830438,1793822800.0,1793828499.0,0.8735,23,38.83,217.16,,"{""develop_s"": 4092.6170661949013, ""health_floor"": 0.12652589845376933}",1594685572,233
RUN_00146,ATM_032,validation,TAMPER,TAMPER,12.742,1803433470,1803447869,1803438250.0,,40.5804,39,29.84,204.03,,"{""n_episodes"": 6}",1327604918,44
RUN_00091,ATM_011,train,POWER_FAILURE,POWER_INSTABILITY,4.55,1798651979,1798666378,1798655761.0,,27.8832,21,29.05,120.12,,"{""event_rate_per_hour"": 82.64396672902714, ""n_events"": 243}",761700297,233
RUN_00145,ATM_027,validation,TAMPER,TAMPER,12.481,1803346132,1803360531,1803353269.0,,41.7754,39,29.66,218.41,,"{""n_episodes"": 5}",1004569871,47
RUN_00038,ATM_017,validation,COOLING_FAILURE,COOLING_DEGRADATION,7.983,1794085139,1794099538,1794090360.0,,0.6691,35,34.09,214.56,,"{""develop_s"": 2079.943164467221, ""health_floor"": 0.3309395700605033}",933783023,47
RUN_00053,ATM_035,train,HIGH_HUMIDITY,HIGH_HUMIDITY,12.35,1795396860,1795411259,1795402181.0,,0.4509,32,29.99,218.29,,"{""develop_s"": 1435.023571889031, ""ah_multiplier"": 1.4509123605491228}",11744918,233
RUN_00028,ATM_014,test,NORMAL,NORMAL,2.994,1793203179,1793217578,,,0.0,6,28.8,213.63,,{},800890117,48
RUN_00117,ATM_021,train,TAMPER,TAMPER,4.073,1800896663,1800911062,1800901858.0,,46.8098,13,29.0,217.87,,"{""n_episodes"": 5}",259280906,225
RUN_00080,ATM_005,train,POWER_FAILURE,POWER_OVERVOLTAGE,11.961,1797728258,1797742657,1797732807.0,,23.0814,37,29.87,218.48,,"{""develop_s"": 588.7317992144502, ""target_v"": 253.08140992804653}",2013145837,233
RUN_00051,ATM_030,train,HIGH_HUMIDITY,HIGH_HUMIDITY,15.918,1795236905,1795251304,1795240536.0,,0.3974,44,29.6,216.22,,"{""develop_s"": 3666.028106518581, ""ah_multiplier"": 1.3974497110716477}",62434807,233
RUN_00059,ATM_006,train,HIGH_HUMIDITY,HIGH_HUMIDITY,10.059,1795907010,1795921409,1795911796.0,,0.4595,43,29.85,216.39,,"{""develop_s"": 2499.599097641505, ""ah_multiplier"": 1.4594785369307688}",729282277,233
RUN_00191,ATM_037,train,SENSOR_FAULT,SENSOR_NOISE,13.023,1807322484,1807336883,1807329145.0,,19.9365,44,29.65,218.31,humidity,"{""kind"": ""SENSOR_NOISE"", ""channel"": ""humidity"", ""inflation"": 19.9364613722877}",1469812194,233
RUN_00113,ATM_028,train,TAMPER,TAMPER,22.165,1800616193,1800630592,1800621009.0,,40.195,5,28.73,220.32,,"{""n_episodes"": 6}",992855416,218
RUN_00061,ATM_043,train,HIGH_HUMIDITY,HIGH_HUMIDITY,19.118,1796112423,1796126822,1796116956.0,,0.86,34,29.38,216.5,,"{""develop_s"": 1249.6248342490155, ""ah_multiplier"": 1.8599517044021656}",1344340741,233
RUN_00049,ATM_033,test,COOLING_FAILURE,FAN_STALL,19.225,1795076011,1795090410,1795083202.0,,0.9702,29,43.67,215.94,,"{""develop_s"": 4.296725436403937, ""health_floor"": 0.029802182375770016}",863068001,48
RUN_00083,ATM_030,train,POWER_FAILURE,POWER_OVERVOLTAGE,11.352,1797985268,1797999667,1797989192.0,,39.0042,39,29.7,218.28,,"{""develop_s"": 133.24018561859128, ""target_v"": 269.0041780354746}",334098262,233
RUN_00185,ATM_029,train,SENSOR_FAULT,SENSOR_SPIKE,9.261,1806790541,1806804940,1806794631.0,,0.565,52,29.65,216.2,current,"{""kind"": ""SENSOR_SPIKE"", ""channel"": ""current"", ""rate"": 0.023974892772632678, ""sigmas"": 23.56535475271707}",1434415242,233
RUN_00192,ATM_021,train,SENSOR_FAULT,SENSOR_NOISE,16.303,1807420689,1807435088,1807427363.0,,38.8505,38,29.87,216.95,light,"{""kind"": ""SENSOR_NOISE"", ""channel"": ""light"", ""inflation"": 38.85045500603539}",950315896,233
