temperature_null_frac,temperature_mean,temperature_std,temperature_min,temperature_max,temperature_slope,temperature_delta,humidity_null_frac,humidity_mean,humidity_std,humidity_min,humidity_max,humidity_slope,humidity_delta,pressure_null_frac,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_slope,pressure_delta,light_null_frac,light_mean,light_std,light_min,light_max,light_slope,light_delta,voltage_null_frac,voltage_mean,voltage_std,voltage_min,voltage_max,voltage_slope,voltage_delta,current_null_frac,current_mean,current_std,current_min,current_max,current_slope,current_delta,voltage_sag_frac,voltage_swell_frac,voltage_dropout_frac,vibration_sum,vibration_max,vibration_active_frac,vibration_burst_max_s,motion_frac,motion_transitions,motion_longest_run_s,abs_humidity_mean,abs_humidity_std,abs_humidity_slope,dewpoint_mean,temp_rh_corr,run_id,atm_id,window_start_ts,window_end_ts,label,stage1,fine_state,purity,ambiguous,severity,run_subtype,time_to_failure_s
0,29.1706,0.0642415,29.06,29.34,0.0412255,0.17,0,55.4826,0.215729,54.94,55.82,-0.142521,-0.7,0,1008.1,0.0651819,1007.91,1008.24,0.0370555,0.18,0,184.236,1.41109,180.2,189.2,0.0257563,0.5,0,234.529,0.916919,232.1,236.4,0.463365,2.3,0,1.41315,0.00612471,1.3936,1.432,-2.00856e-05,-0.0008,0,0,0,1,1,0.00333333,1,0,0,0,14.1399,0.0225439,-0.00324109,19.3477,-0.917941,RUN_00139,ATM_025,1802874247,1802874546,NORMAL,HEALTHY,NORMAL,1,False,38.8105,TAMPER,
0,28.895,0.0846424,28.72,29.09,-0.0545309,-0.37,0,56.2932,0.12684,56.01,56.57,-0.0194119,0.08,0,1005.44,0.0439912,1005.35,1005.56,0.0198648,0.08,0,346.656,9.90308,326.2,356.3,-3.45445,-25.5,0,228.105,0.720725,226.5,230.3,-0.134839,-0.6,0,1.41697,0.00581535,1.4024,1.4336,0.000151042,-0.0048,0,0,0,7806,72,0.56,99,0.58,5,101,14.1575,0.0780506,-0.0509826,19.3247,-0.0143541,RUN_00110,ATM_005,1800330167,1800330466,TAMPER,ABNORMAL,TAMPER,1,False,42.3321,TAMPER,
0,28.2779,0.0912877,28.14,28.48,-0.0603356,-0.26,0,50.8915,0.338386,50.22,51.42,0.228675,1.07,0,1007.37,0.046688,1007.24,1007.49,0.0226608,0.06,0,181.946,1.35662,178.7,185.4,-0.0506046,0.9,0,228.717,0.858636,226.8,230.9,-0.377084,-1,0,1.37902,0.00619772,1.3608,1.396,-0.00122734,-0.0136,0,0,0,0,0,0,0,0,0,0,12.2883,0.0260581,0.0120794,17.1457,-0.96306,RUN_00177,ATM_030,1806158989,1806159288,SENSOR_FAULT,ABNORMAL,SENSOR_DRIFT,1,False,83.6467,SENSOR_DRIFT,
0,29.5879,0.134179,29.32,29.8,-0.0909953,-0.38,0,79.741,1.05882,77.92,81.58,0.732347,3.29,0,1006.62,0.0479433,1006.52,1006.77,0.0164012,0.14,0,196.648,10.2996,176.4,206.7,0.636162,-2.1,0,233.341,0.756896,230.8,235.6,0.146556,1.9,0,1.42346,0.00630462,1.408,1.44,-0.000117036,0.008,0,0,0,18,5,0.0233333,3,0.293333,2,54,21.074,0.128279,0.085409,25.7141,-0.980108,RUN_00050,ATM_011,1795157543,1795157842,HIGH_HUMIDITY,ABNORMAL,HIGH_HUMIDITY,1,False,0.5939,HIGH_HUMIDITY,
0,38.1079,0.0566385,37.97,38.2,0.0358256,0.19,0,30.4186,0.0543511,30.27,30.58,0.00440165,0.03,0,1006.7,0.072495,1006.54,1006.87,0.0395398,0.21,0,199.635,2.01643,179.5,204.1,0.384155,-21.6,0,230.054,0.951323,228,232.3,-0.448598,-1.7,0,2.01012,0.0079597,1.988,2.0336,-7.85502e-05,-0.02,0,0,0,2,1,0.00666667,1,0.00333333,1,1,12.7748,0.0459704,0.0266802,17.738,0.0150708,RUN_00033,ATM_011,1793647534,1793647833,COOLING_FAILURE,ABNORMAL,COOLING_DEGRADATION,1,False,0.8681,COOLING_DEGRADATION,-610
0,38.2709,0.0280461,38.19,38.36,0.0113852,0.08,0,30.5194,0.0521985,30.37,30.7,0.00223376,0.05,0,1006.83,0.0623335,1006.7,1007.01,-0.0295321,-0.19,0,204.905,1.68879,200.6,209.6,0.638715,3.8,0,233.404,0.63086,231.8,235.2,-0.092849,1.5,0,2.00966,0.00800538,1.9824,2.032,0.000158508,0.0072,0,0,0,0,0,0,0,0,0,0,12.9322,0.0317717,0.00949072,17.9308,0.0941448,RUN_00033,ATM_011,1793648134,1793648433,COOLING_FAILURE,ABNORMAL,COOLING_DEGRADATION,1,False,0.8681,COOLING_DEGRADATION,-10
0,28.8052,0.0360224,28.7,28.88,-0.0185105,-0.17,0,93.6562,0.162318,93.35,94.03,-0.0832651,-0.29,0,1009.27,0.041578,1009.16,1009.37,-0.0121731,-0.01,0,428.282,1.63129,423.2,433,0.255748,0.3,0,232.778,0.777335,230.3,234.8,0.143034,-1.1,0,1.41535,0.00617415,1.4,1.436,0.000395183,0.004,0,0,0,4,1,0.0133333,1,0,0,0,23.6926,0.0759553,-0.0479528,27.6792,0.31658,RUN_00054,ATM_020,1795480354,1795480653,HIGH_HUMIDITY,ABNORMAL,HIGH_HUMIDITY,1,False,0.7691,HIGH_HUMIDITY,
0,28.9731,0.157996,28.74,29.23,0.106404,0.48,0,56.71,0.399001,56.02,57.31,-0.266596,-1.08,0,1010.28,0.050477,1010.16,1010.41,-0.0258442,-0.17,0,169.948,9.78636,149.5,180.5,-0.258532,-2.6,0,229.802,1.14871,227,232.2,0.598249,3.6,0,1.41158,0.00637241,1.3896,1.4272,0.00038361,-0.0056,0,0,0,6959,46,0.816667,158,0.973333,2,205,14.2601,0.0378081,0.0216272,19.5156,-0.983718,RUN_00122,ATM_035,1801399421,1801399720,TAMPER,ABNORMAL,TAMPER,1,False,40.516,TAMPER,
0,29.5781,0.0877917,29.38,29.76,-0.0588077,-0.34,0.00333333,58.0238,0.0792387,57.86,58.26,0.0354998,0.23,0,1009.02,0.0468365,1008.92,1009.15,-0.0203386,-0.03,0,187.498,1.35148,183.8,191.3,-0.0260176,3.8,0,212.129,5.23558,203.7,221.3,-3.57276,-16.3,0,1.41143,0.00627153,1.392,1.428,0.000301966,-0.0088,0.2,0,0,0,0,0,0,0,0,0,15.1498,0.0651187,-0.042799,20.4503,-0.696971,RUN_00077,ATM_022,1797499392,1797499691,POWER_FAILURE,ABNORMAL,POWER_UNDERVOLTAGE,1,False,27.0011,POWER_UNDERVOLTAGE,
0,27.8113,0.042531,27.73,27.94,-0.0175226,-0.06,0,51.711,0.246646,51.11,52.03,0.155001,0.7,0,1008.64,0.0703235,1008.5,1008.82,-0.0392712,-0.19,0,176.514,1.48729,171.5,180.4,0.029559,-0.6,0,226.983,0.92714,225,229.6,0.475939,1,0,1.4445,0.00731853,1.4272,1.4632,0.00217801,0.0056,0,0,0,0,0,0,0,0,0,0,12.1331,0.0406831,0.0249606,16.9687,-0.779716,RUN_00037,ATM_038,1794061292,1794061591,COOLING_FAILURE,ABNORMAL,COOLING_DEGRADATION,1,False,0.9365,COOLING_DEGRADATION,-5354
